Title,Director,Cast,Genre,Year
A Prince Indeed a.k.a. Veer Bhushan,Keshavlal Joshi,"Laxmi, Bachchu, Suleman Master, Drupad Bhatt",Costume,1930
Ace Of Swords a.k.a. Talwar Ka Phani,Harshad Mehta,"Mumtaz, Ata Mohammed, Jani Babu, Nizam",Costume,1930
Alik Babu a.k.a. Master Liar,Dhiren Ganguly,"Dhiren Ganguly, Radha Rani, D. R. Das, Kalipada Das, Satya Sindhu",Social,1930
All For The Crown a.k.a. Khooni Taj,Pandurang Talegiri,"Wamanrao Kulkarni, Yasho Verma, Gangoobai, Jairam Desai",,1930
Amar Kirti,Prafulla Ghosh,"Rampyari, Vishnu, Abdul Pahelwan, Hydershah Abdul Pahelwan",,1930
An Ideal Woman a.k.a. Adarsh Ramani,V. K. Pattani,"Shankar, Miss Mani",,1930
Arunodaya a.k.a. The Rising Sun (Dawn),Bhagwati Mishra,"Master Vithal, Nirasha, Yakub, Boman Irani, Wamanrao, Syed Husen, Manekbai",Costume,1930
Avarice a.k.a. Aghor Lalsa,Harilal M. Bhatt,"Shankar, Miss Mani",,1930
Avenged a.k.a. Ver Vasul,M. Udwadia,"Shahzadi, Udwadia, Malka",Costume,1930
Bandit Of Baghdad a.k.a. Baghdad Nu Baharvatiyo,Narayan Deware,"J. K. Nanda, Elizer, Jamuna, Rajababu, Usha, Ganibabu","Action, Costume",1930
Beggar Meets Beggar a.k.a. Rajdoot,Haribhai Desai,"Zebunisa, Bachchu, Zhunzharrao Pawar, Abbasi, Baburao Gade",Costume,1930
Behram the Bandit a.k.a. Baharvatiyo Behram,Saqi,"Shahzadi, Saqi",Costume,1930
Beloved Rogue a.k.a. Albelo Sawar,Nagendra Majumdar,"E. Billimoria, Putli",Action,1930
Benevolent Bravery a.k.a. Shurana Sangram,Mohanlal Shah,"Gulab, Haridas, Vishnu, Durga, Gangaram Sardar",Action,1930
Bharat Ramani a.k.a. The Enchantress of India,Jyotish Bannerji,"Seeta Devi, Patience Cooper, Dadabhai Sarkari, Lalita Devi",Historical,1930
Bhimsen the Mighty,N. D. Sarpotdar,"Joraswamy Sandow, Lalita Pawar, Jadhavrao Bhaurao Datar, Durgabai Koregaonkar, Miss Umrao, P. N. Varne",Mythology,1930
Brand Of Fate a.k.a. Bhola Shikar,Ramakant-Gharekhan,"Sultana, Madanrai Vakil, Salvi",Social,1930
Fall Of Pride a.k.a. Garva Khandan,M. Udwadia,"Zubeida, Udvadia, Talpade",Costume Action,1930
