Title,Director,Cast,Genre,Year,new_Genre
A Prince Indeed a.k.a. Veer Bhushan,Keshavlal Joshi,"Laxmi, Bachchu, Suleman Master, Drupad Bhatt",Costume,1930,Costume
Ace Of Swords a.k.a. Talwar Ka Phani,Harshad Mehta,"Mumtaz, Ata Mohammed, Jani Babu, Nizam",Costume,1930,Costume
Alik Babu a.k.a. Master Liar,Dhiren Ganguly,"Dhiren Ganguly, Radha Rani, D. R. Das, Kalipada Das, Satya Sindhu",Social,1930,Social
Arunodaya a.k.a. The Rising Sun (Dawn),Bhagwati Mishra,"Master Vithal, Nirasha, Yakub, Boman Irani, Wamanrao, Syed Husen, Manekbai",Costume,1930,Costume
Avenged a.k.a. Ver Vasul,M. Udwadia,"Shahzadi, Udwadia, Malka",Costume,1930,Costume
Bandit Of Baghdad a.k.a. Baghdad Nu Baharvatiyo,Narayan Deware,"J. K. Nanda, Elizer, Jamuna, Rajababu, Usha, Ganibabu","Action, Costume",1930,"Action, Costume"
Beggar Meets Beggar a.k.a. Rajdoot,Haribhai Desai,"Zebunisa, Bachchu, Zhunzharrao Pawar, Abbasi, Baburao Gade",Costume,1930,Costume
Behram the Bandit a.k.a. Baharvatiyo Behram,Saqi,"Shahzadi, Saqi",Costume,1930,Costume
Beloved Rogue a.k.a. Albelo Sawar,Nagendra Majumdar,"E. Billimoria, Putli",Action,1930,Action
Benevolent Bravery a.k.a. Shurana Sangram,Mohanlal Shah,"Gulab, Haridas, Vishnu, Durga, Gangaram Sardar",Action,1930,Action
Bharat Ramani a.k.a. The Enchantress of India,Jyotish Bannerji,"Seeta Devi, Patience Cooper, Dadabhai Sarkari, Lalita Devi",Historical,1930,Historical
Bhimsen the Mighty,N. D. Sarpotdar,"Joraswamy Sandow, Lalita Pawar, Jadhavrao Bhaurao Datar, Durgabai Koregaonkar, Miss Umrao, P. N. Varne",Mythology,1930,Mythology
Brand Of Fate a.k.a. Bhola Shikar,Ramakant-Gharekhan,"Sultana, Madanrai Vakil, Salvi",Social,1930,Social
Fall Of Pride a.k.a. Garva Khandan,M. Udwadia,"Zubeida, Udvadia, Talpade",Costume Action,1930,Costume Action
Fall Of Raigad a.k.a. Raktacha Sood (Lohini Vasulat),P. S. Talegiri,"Gangoobai, Jairam Desai, Sunder Rao Nadkarni, V. S. Bapat, Wamanrao Kulkarni, Baburao Gade, Dattopant Sohoni",Costume Historical,1930,Costume Historical
Fatal Arrow a.k.a. Khooni Teer,A. P. Kapoor,"Nandram, Zebunisa, Sankatha Prasad, Promoth Bose, Joshi",Fantasy,1930,Fantasy
Father India a.k.a. Hamara Hindustan,R. S. Choudhary,"Sulochana (Ruby Myers), Jal Merchant, Mazhar Khan, Mehtab, Madanrai Vakil, Jilloobai, Jamshedji",Social,1930,Social
Fight Up to Death,Nagendra Majumdar,"P. Jairaj, Madhuri, Bhaduri, Kale",Costume,1930,Costume
Fighting Chevalier,H. Desai,"Jena, Bhakre, Roshan, Patel",Action,1930,Action
Flames Of Flesh a.k.a. Kamonar Agun,Dhiren Ganguly,"Debaki Bose, Dhiren Ganguly, Radharani and Sabita Devi",Historical,1930,Historical
