Title,Director,Cast,Genre,Year
Abraham Lincoln's Clemency,Theodore Wharton,Leopold Wharton,,1910
An Arcadian Maid,D. W. Griffith,"Mary Pickford, Mack Sennett",Drama,1910
As It Is In Life,D. W. Griffith,"George Nichols, Gladys Egan, Mary Pickford",Romantic drama,1910
A Christmas Carol,J. Searle Dawley,"Marc McDermott, Charles Stanton Ogle",,1910
The Courtship of Miles Standish,Hobart Bosworth,Robert Z. Leonard,Drama,1910
The Englishman and the Girl,D. W. Griffith,"Charles Craig, Mary Pickford",Comedy,1910
Frankenstein,J. Searle Dawley,"Augustus Phillips, Charles Stanton Ogle, Mary Fuller",,1910
The Fugitive,D. W. Griffith,"Kate Bruce, Edward Dillon",Drama,1910
Gentleman Joe,,Harry Carey,,1910
"Hemlock Hoax, the Detective",,,Comedy,1910
The House with Closed Shutters,D. W. Griffith,Henry B. Walthall,Drama,1910
In Old California,D. W. Griffith,"Frank Powell, Arthur V. Johnson, Marion Leonard, Henry B. Walthall",Melodrama,1910
In the Border States,D. W. Griffith,Charles West,Drama,1910
A Lad from Old Ireland,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",Drama,1910
Pocahontas,,"Anna Rosemond, George Barnes, Frank H. Crane",Short fantasy,1910
Pride of the Range,Francis Boggs,Tom Mix,Western,1910
Ramona,D. W. Griffith,"Mary Pickford, Henry B. Walthall",Drama,1910
The Rocky Road,D. W. Griffith,"Frank Powell, Stephanie Longfellow",Drama,1910
Roosevelt in Africa,Cherry Kearton,Theodore Roosevelt,Documentary,1910
Rose O'Salem-Town,D. W. Griffith,Henry B. Walthall,Drama short,1910
The Sanitarium,,Fatty Arbuckle,Comedy,1910
The Two Brothers,D. W. Griffith,Arthur V. Johnson,Western,1910
The Unchanging Sea,D. W. Griffith,Arthur V. Johnson,Drama,1910
What the Daisy Said,D. W. Griffith,"Clara T. Bracy, Mary Pickford, Mack Sennett",,1910
The Woman from Mellon's,D. W. Griffith,"Billy Quirk, Mary Pickford",,1910
The Wonderful Wizard of Oz,Otis Turner (unconfirmed),Bebe Daniels,,1910
Baseball and Bloomers,,"William Garwood, Marguerite Snow",Silent sports,1911
The Black Arrow: A Tale of the Two Roses,Oscar Apfel,"Charles Ogle, Natalie Jerome",Drama,1911
Brown of Harvard,Colin Campbell,Edgar G. Wynn,Drama,1911
Cally's Comet,,William Garwood,Drama,1911
The Coffin Ship,,William Garwood,Adventure,1911
The Colonel and the King,,"Marie Eline, William Garwood",Drama,1911
Courting Across the Court,,William Garwood,Romantic Comedy,1911
The Cowboy and the Lady,,Alan Hale,Western,1911
Flames and Fortune,,"Marie Eline, William Garwood",Drama,1911
For Her Sake,,William Garwood,,1911
Her Awakening,D. W. Griffith,"Mabel Normand, Harry Hyde",Drama,1911
The Higher Law,George Nichols,"William Garwood, James Cruze",Drama,1911
David Copperfield,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell",Drama,1911
His Trust Fulfilled,D. W. Griffith,Wilfred Lucas,Drama,1911
The Italian Barber,D. W. Griffith,"Joseph Graybill, Mary Pickford",Drama,1911
The Last of the Mohicans,Theodore Marston,James Cruze,Drama,1911
The New Superintendent,Francis Boggs,Herbert Rawlinson,Drama,1911
The Pasha's Daughter,,William Garwood,Drama,1911
Princess Clementina,William G.B. Barker,"H. B. Irving, Alice Young",Adventure,1911
The Railroad Builder,,William Garwood,Drama,1911
The Scarlet Letter,"Joseph W. Smiley, George Loane Tucker","King Baggot, Lucille Young",Drama,1911
She,George Nichols,Marguerite Snow,Fantasy,1911
The Smuggler,,William Garwood,,1911
Sweet Memories,Thomas H. Ince,"Mary Pickford, King Baggot",Drama,1911
A Tale of Two Cities,William J. Humphrey,"Maurice Costello, Florence Turner",,1911
That's Happiness,George Nichols,"William Garwood, Bertha Blanchard",Drama,1911
The Two Paths,D. W. Griffith,"Dorothy Bernard, Wilfred Lucas",Drama,1911
The Voice of the Child,D. W. Griffith,Edwin August,Drama,1911
Won by Wireless,,William Garwood,Thriller,1911
All for a Girl,Frederick A. Thomson,"Dorothy Kelly, Leah Baird",Romantic comedy,1912
At the Foot of the Ladder,,"Mignon Anderson, William Garwood",Romantic drama,1912
Aurora Floyd,Theodore Marston,"William Garwood, Florence La Badie, Harry Benham",Drama,1912
Baby Hands,,"James Cruze, Jean Darnell",Drama,1912
The Bandit of Tropico,,"Harry von Meter, Vivian Rich",Adventure,1912
A Battle of Wits,,"Tom Moore, Alice Joyce, Earle Foxe",Drama,1912
The Belle of Bar-Z Ranch,Tom Ricketts,"Harry von Meter, Vivian Rich",Western,1912
A Business Buccaneer,,"Tom Moore, Alice Joyce",Comedy,1912
The Charge of the Light Brigade,J. Searle Dawley,"James Gordon, Richard Neill",War,1912
Conductor 786,,"William Garwood, Riley Chamberlin, Jean Darnell",Comedy,1912
The County Fair,,"Earle Foxe, Alice Joyce",Drama,1912
The Cry of the Children,George Nichols,"Marie Eline, Ethel Wright, James Cruze.",Drama,1912
The Deserter,Thomas H. Ince,"Francis Ford, Ethel Grandin",Western,1912
The Eternal Mother,D. W. Griffith,"Edwin August, Blanche Sweet",Drama,1912
Dr. Jekyll and Mr. Hyde,Lucius Henderson,James Cruze,Horror,1912
For His Son,D. W. Griffith,Charles Hill Mailes,Drama,1912
For the Cause of the South,Bannister Merwin,"Laura Sawyer, Benjamin Wilson, Charles Ogle",Romantic drama,1912
Frankfurters and Quail,,William Garwood,Drama,1912
From the Manger to the Cross,Sidney Olcott,Robert Henderson-Bland,,1912
The Half-Breed's Way,,"Harry von Meter, Vivian Rich, George Beech",Western,1912
His Only Son,Jack Conway and Milton J. Fahrney,"Wallace Reid, Dorothy Davenport",Western,1912
It Happened Thus,,"Charlotte Burton, Owen Moore",Romantic drama,1912
The Land Beyond the Sunset,Harold M. Shaw,"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Bigelow Cooper",Drama,1912
A Leap for Love,,"Ethel Wright, Frank Hall Crane, Rodman Law",Romantic drama,1912
The Little Girl Next Door,Lucius J. Henderson,"William Garwood, Marguerite Snow",Drama,1912
The Musketeers of Pig Alley,D. W. Griffith,"Elmer Booth, Lillian Gish",Drama,1912
A New Cure for Divorce,,"William Garwood, Mignon Anderson",Drama,1912
The New York Hat,D. W. Griffith,"Mary Pickford, Lionel Barrymore, Lillian Gish",,1912
The Old Bookkeeper,D. W. Griffith,"W. Chrystie Miller, Blanche Sweet",Drama,1912
Petticoat Camp,,"William Garwood, Florence La Badie",Comedy,1912
Please Help the Pore,,"William Garwood, Riley Chamberlin, Mignon Anderson, Marie Eline",Drama,1912
The Power of Melody,,"Harry von Meter, Vivian Rich, Eugenie Forde",Drama,1912
Put Yourself in His Place,Theodore Marston,"William Garwood, Marguerite Snow",Drama,1912
Saved from the Titanic,Étienne Arnaud,Dorothy Gibson,,1912
A Six Cylinder Elopement,,"William Garwood, Riley Chamberlain, Marguerite Snow",Romantic comedy,1912
Standing Room Only,,"William Garwood, Mignon Anderson",Drama,1912
The Street Singer,,"Earle Foxe, Alice Joyce",Drama,1912
The Tell-Tale Message,,"Earle Foxe, Hazel Neason, Stuart Holmes",Drama,1912
The Thunderbolt,,"William Garwood, James Cruze, David Thompson",Drama,1912
An Unseen Enemy,D. W. Griffith,"Lillian Gish, Dorothy Gish",,1912
The Voice of Conscience,,"Florence La Badie, Jean Darnell",Drama,1912
What Happened to Mary,Charles Brabin,"Mary Fuller, Marc McDermott",,1912
When the Heart Calls,Al Christie,"Lee Moran, Russell Bassett, Louise Glaum",Western comedy,1912
With the Mounted Police,,"William Garwood, Mignon Anderson",Romantic thriller,1912
The Young Millionaire,,"Earle Foxe, Alice Joyce",Drama,1912
The Adventures of Kathlyn,Francis J. Grandon,Kathlyn Williams,Adventure serial,1913
American Born,Lorimer Johnston,"Sydney Ayres, Harry von Meter, Charles Cummings",Drama,1913
"Article 47, L'",,"William Garwood, Victory Bateman, Howard Davies",,1913
Back to Life,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",Drama,1913
Barney Oldfield's Race for a Life,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield",Comedy,1913
Beau Brummel,James Young,"James Young, Clara Kimball Young",Adventure,1913
Beautiful Bismark,,William Garwood,Drama,1913
Bianca,Robert Thornby,George Cooper,,1913
Bloodhounds of the North,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1913
Bob's Baby,,Jean Acker,Comedy,1913
The Caged Bird,,"William Garwood, Marguerite Snow",Drama,1913
Calamity Anne's Beauty,Allan Dwan,Louise Lester,,1913
Calamity Anne's Dream,Allan Dwan,Louise Lester,,1913
Calamity Anne's Inheritance,Allan Dwan,Louise Lester,,1913
Calamity Anne's Vanity,Allan Dwan,Louise Lester,,1913
"Calamity Anne, Heroine",Allan Dwan,Louise Lester,,1913
Cohen Saves the Flag,Mack Sennett,"Ford Sterling, Mabel Normand",Comedy,1913
The Cub Reporter's Temptation,,"Earle Foxe, Alice Joyce, Tom Moore",Drama,1913
Cupid in a Dental Parlor,Henry Lehrman,Fred Mace,Comedy,1913
A Desperate Chance,Kenean Buel,"Earle Foxe, Alice Hollister, Robert G. Vignola, Helen Lindroth, Miriam Cooper",Drama,1913
Dr. Jekyll and Mr. Hyde,Herbert Brenon and Carl Laemmle,King Baggot,Horror,1913
The Evidence of the Film,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline",Crime,1913
The Face at the Window,,"Earle Foxe, Irene Boyle, Stuart Holmes",Drama,1913
The Fire Coward,,"Earle Foxe, Irene Boyle",Drama,1913
The Flirt and the Bandit,Lorimer Johnston,,Drama,1913
For the Crown,Lorimer Johnston,"Charlotte Burton, Helen Armstrong, J. Warren Kerrigan",,1913
For the Flag,Lorimer Johnston,Charlotte Burton,Drama,1913
A Forest Romance,Frank Montgomery,"Harry von Meter, Mona Darkfeather",,1913
The Game Warden,,"Earle Foxe, Irene Boyle, Stuart Holmes",Romantic comedy,1913
The Girl and the Greaser,Allan Dwan,"Charlotte Burton, J. Warren Kerrigan, Louise Lester",,1913
The Greater Love,Allan Dwan,"Charlotte Burton, Mabel Brown, Edward Coxen",Drama,1913
His Chum the Baron,Mack Sennett,Ford Sterling,Comedy,1913
Hulda of the Netherlands,,,,1913
Hurricane in Galveston,King Vidor,,Drama,1913
In the Secret Service,Henry MacRae,Charles Bartlett,Western,1913
Justice of the Wild,Frank E. Montgomery,"Harry von Meter, Mona Darkfeather",Adventure,1913
Lady Babbie,Oscar A. C. Lund,"Barbara Tennant, Oscar A. C. Lund",Drama,1913
A Little Hero,George Nichols,"Mabel Normand, Harold Lloyd",Comedy,1913
The Mirror,Anthony O'Sullivan,Henry B. Walthall,,1913
Oil and Water,D. W. Griffith,"Blanche Sweet, Henry B. Walthall, Lionel Barrymore",Drama,1913
The Old Monk's Tale,J. Searle Dawley,Ben F. Wilson,Drama,1913
The Proof of the Man,,"Alexander Gaden, Edna Maison",Drama,1913
The Quakeress,Raymond B. West,Louise Glaum,Drama,1913
The Restless Spirit,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",Drama,1913
The Rose of San Juan,Sydney Ayres,"Sydney Ayres, Charlotte Burton, Louise Lester",Drama,1913
Rory o' the Bogs,J. Farrell MacDonald,J. Warren Kerrigan,,1913
"Sally Scraggs, Housemaid",Robert Z. Leonard,"Robert Z. Leonard, Margarita Fischer",Comedy,1913
Shadows of the Moulin Rouge,Alice Guy,"Fraunie Fraunholz, Claire Whitney",Drama,1913
The Shoemaker and the Doll,,William Garwood,Drama,1913
The Telephone Girl and the Lady,D. W. Griffith,"Mae Marsh, Claire McDowell",Drama,1913
Three Friends,D. W. Griffith,"Henry B. Walthall, Blanche Sweet, Lionel Barrymore",Drama,1913
The Twelfth Juror,George Lessey,Ben F. Wilson,Drama,1913
Unto the Third Generation,Harry Solter,"Earle Foxe, Florence Lawrence, Matt Moore",Romantic drama,1913
While There's Life,,"Charlotte Burton, Jean Durrell",Drama,1913
Woman's Honor,Allan Dwan,"Charlotte Burton, Louise Lester",Drama,1913
Across the Pacific,Edwin Carewe,"Dorothy Dalton, Samuel E. Hines",Adventure,1914
