Title,Director,Cast,Genre,Year,new_Genre
An Arcadian Maid,D. W. Griffith,"Mary Pickford, Mack Sennett",Drama,1910,Drama
As It Is In Life,D. W. Griffith,"George Nichols, Gladys Egan, Mary Pickford",Romantic drama,1910,Romantic drama
The Courtship of Miles Standish,Hobart Bosworth,Robert Z. Leonard,Drama,1910,Drama
The Englishman and the Girl,D. W. Griffith,"Charles Craig, Mary Pickford",Comedy,1910,Comedy
The Fugitive,D. W. Griffith,"Kate Bruce, Edward Dillon",Drama,1910,Drama
The House with Closed Shutters,D. W. Griffith,Henry B. Walthall,Drama,1910,Drama
In Old California,D. W. Griffith,"Frank Powell, Arthur V. Johnson, Marion Leonard, Henry B. Walthall",Melodrama,1910,Melodrama
In the Border States,D. W. Griffith,Charles West,Drama,1910,Drama
A Lad from Old Ireland,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",Drama,1910,Drama
Pride of the Range,Francis Boggs,Tom Mix,Western,1910,Western
Ramona,D. W. Griffith,"Mary Pickford, Henry B. Walthall",Drama,1910,Drama
The Rocky Road,D. W. Griffith,"Frank Powell, Stephanie Longfellow",Drama,1910,Drama
Roosevelt in Africa,Cherry Kearton,Theodore Roosevelt,Documentary,1910,Documentary
Rose O'Salem-Town,D. W. Griffith,Henry B. Walthall,Drama short,1910,Drama short
The Two Brothers,D. W. Griffith,Arthur V. Johnson,Western,1910,Western
The Unchanging Sea,D. W. Griffith,Arthur V. Johnson,Drama,1910,Drama
The Black Arrow: A Tale of the Two Roses,Oscar Apfel,"Charles Ogle, Natalie Jerome",Drama,1911,Drama
Brown of Harvard,Colin Campbell,Edgar G. Wynn,Drama,1911,Drama
Her Awakening,D. W. Griffith,"Mabel Normand, Harry Hyde",Drama,1911,Drama
The Higher Law,George Nichols,"William Garwood, James Cruze",Drama,1911,Drama
David Copperfield,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell",Drama,1911,Drama
His Trust Fulfilled,D. W. Griffith,Wilfred Lucas,Drama,1911,Drama
The Italian Barber,D. W. Griffith,"Joseph Graybill, Mary Pickford",Drama,1911,Drama
The Last of the Mohicans,Theodore Marston,James Cruze,Drama,1911,Drama
The New Superintendent,Francis Boggs,Herbert Rawlinson,Drama,1911,Drama
Princess Clementina,William G.B. Barker,"H. B. Irving, Alice Young",Adventure,1911,Adventure
The Scarlet Letter,"Joseph W. Smiley, George Loane Tucker","King Baggot, Lucille Young",Drama,1911,Drama
She,George Nichols,Marguerite Snow,Fantasy,1911,Fantasy
Sweet Memories,Thomas H. Ince,"Mary Pickford, King Baggot",Drama,1911,Drama
That's Happiness,George Nichols,"William Garwood, Bertha Blanchard",Drama,1911,Drama
The Two Paths,D. W. Griffith,"Dorothy Bernard, Wilfred Lucas",Drama,1911,Drama
The Voice of the Child,D. W. Griffith,Edwin August,Drama,1911,Drama
All for a Girl,Frederick A. Thomson,"Dorothy Kelly, Leah Baird",Romantic comedy,1912,Romantic comedy
Aurora Floyd,Theodore Marston,"William Garwood, Florence La Badie, Harry Benham",Drama,1912,Drama
The Belle of Bar-Z Ranch,Tom Ricketts,"Harry von Meter, Vivian Rich",Western,1912,Western
The Charge of the Light Brigade,J. Searle Dawley,"James Gordon, Richard Neill",War,1912,War
The Cry of the Children,George Nichols,"Marie Eline, Ethel Wright, James Cruze.",Drama,1912,Drama
