Title,Director,Cast,Genre,Year
Barrister Parvateesarrn,H. M. Reddy,"Lanka Satyam, G. Varalakshmi, K. Sivarao, L. V. Prasad",Comedy,1940
Bhoja Kalidasu,H. V. Babu,"Adhanki Srirama Murthy, Parepalli Subba Rao, P. Kannamba",Mythology,1940
Bhookailas,Sundar Rao Nadkarni,"M. V. Subbiah Naidu, R. Nagendra Rao, Lakshmi Bai, R. Subramanyam, Hymavathi",Devotional,1940
Bondam Pelli,H. M. Reddy,"L. V. Prasad, G. Varalakshmi",Comedy,1940
Chaduvukunna Bharya,H. M. Reddy,"Lanka Satyam, G. Varalakshmi",Comedy,1940
Chandika,R. S. Prakash,"P. Kannamba, Bellary Raghava, Vemuri Gaggaiah, Aarani Satyanarayana",Adventure,1940
Illalu,Gudavalli Ramabrahmam,"V. Umamaheswara Rao, Kanchanamala, Lakshmi Rajyam",Family,1940
Jeevana Jyothi,China Kameswara Rao Dronamraju,"Ch. Narayana Rao, C. Krishnaveni, Kamala Kotnis",Drama,1940
Kalachakram,Amancharla Gopala Rao,"Banda Kanakalingeshwara Rao, Lakshmi Rajyam, M. Krishna Rao, N. Nagaraja Rao, Uma Devi",Drama,1940
Mahiravana,Ch. Narayana Murthy,"Vemuri Gaggaiah, Kanchanamala, R. Subramanyam, Yandamuri Raju, T. Ramakrishna Sastry",Mythology,1940
Malathi Madhavam,C. Pullaiah,"Pushpavalli, C. Srinivasa Rao, P. Bhanumathi, Relangi",Folklore,1940
Meerabai,B. Narasimha Rao,"Govindarajula Subba Rao, M. V. Lakshmi, Bogaraju Perraju",Devotional,1940
Sumangali,B. N. Reddy,"A. S. Giri, Chittor V. Nagaiah, Kumari, Malathi",Social,1940
Viswa Mohini,Y. V. Rao,"Chittor V. Nagaiah, Bezawada Rajarathnam, Y. V. Rao, Lalitha Devi",Drama,1940
Aahuti,R. S. Junnarkar,"Aarani Satyanarayana, C. Krishnaveni, Rushyendramani, Suryakantham",Drama,1950
Adhrusta Deepudu,S. Soundararajan,"Suryakumari, Rama Sarma, Mukkamala, Gummadi",Drama,1950
Apoorva Sahodarulu (Dubbed from Tamil),C. Pullaiah,"M. K. Radha, P. Bhanumathi, R. Nagendra Rao, L. Narayana Rao, J. S. Casshyap, Suryaprabha",Action,1950
Beedala Patlu,K. Ramnoth,"V. Nagaiah, Javar Seetharaman, T. S. Balaiah, Lalitha, Padmini, Serukulathur Sama",Social,1950
Jeevitham,A. V. Meiyappan,"Vyjayanthimala, T. R. Ramachandran, S. Varalakshmi, C. H. Narayana Rao, C. S. R. Anjaneyulu",Drama,1950
Lakshmamma,T. Gopichand,"C. H. Narayana Rao, C. Krishnaveni, Govindarajula Subba Rao, Mudigonda Lingamurthy, Kumari Rukmani",Folklore,1950
Maaya Rambha,T. P. Sundaram,"Anjali Devi, K. Raghuramaiah, N. T. Rama Rao, G. Varalakshmi, C. S. R. Anjaneyulu",Folklore,1950
Modhati Rathri,K. S. Prakash Rao,"G. Varalakshmi, C. H. Narayana Rao, Kasturi Siva Rao, K. S. Prakash Rao, P. K. Saraswathi",Drama,1950
Palletoori Pilla,B. A. Subba Rao,"A. Nageswara Rao, N. T. Rama Rao, Anjali Devi",Folklore,1950
Paramanandayya Sishyulu,Kasturi Siva Rao,"A. Nageswara Rao, C. Lakshmi Rajyam, Girija, C. S. R. Anjaneyulu, Kasturi Siva Rao, Relangi",Comedy,1950
Raja Vikrama (Dubbed from Kannada),Kempraj Urs,S. Rajam,Folklore,1950
Shavukaru,L. V. Prasad,"N. T. Rama Rao, Sowcar Janaki, Govindarajula Subba Rao, Santha Kumari, S. V. Ranga Rao",Social,1950
Samsaram,L. V. Prasad,"A. Nageswara Rao, C. Lakshmi Rajyam, N. T. Rama Rao, Pushpalata",Social,1950
Sri Lakshmamma Katha,Ghantasala Balaramayya,"A. Nageswara Rao, Anjali Devi, G. Varalakshmi, Kasturi Siva Rao",Folklore,1950
Sri Saibaba,Pattabhi,"Mannava Ramachandra Rao, Adhanki Srirama Murthy, Hemalatha, C. S. R. Anjaneyulu, Parepalli Subba Rao, Surabi Balasaraswati, Bharathi Devi",Devotional,1950
Swapna Sundari,Ghantasala Balaramayya,"A. Nageswara Rao, Anjali Devi, G. Varalakshmi, Kasturi Siva Rao, Surabhi Balasaraswathi",Fantasy,1950
Thirugubatu,P. Pullaiah,"C. H. Narayana Rao, Santha Kumari, C. Krishnaveni, Adhanki Srirama Murthy, 'Baby' Mallika",Social,1950
Vaali – Sugreeva,Jampana,"C. S. R. Anjaneyulu, Sriranjani Jr., G. Varalakshmi",Devotional,1950
Abhimanam,k. S Rao,"A. Nageswara Rao, Savitri, P. Kannamba, Chalam, Krishna Kumari",Drama,1960
Anna Chellelu,B. Vittalacharya,"J. V. Ramana Murthy, Devika, Meena Kumari, Rajanala",Drama,1960
Annapurna,V. Madhusudhan Rao,"Jaggayya, Jamuna, Gummadi",Drama,1960
Bhakta Raghunath,Samudrala,"Kanta Rao, Jamuna",Mythology,1960
Bhakta Sabari,Ch. Narayana Murthy,"Sobhan Babu, Haranath, Krishna KUmari, Rajasree, Chittor V. Nagaiah, Pandaribai",Mythology,1960
Bhatti Vikramarka,Chandrasekhara Rao Jampana,"N. T. Rama Rao, Kanta Rao, Anjali Devi",Historical,1960
Chivaraku Migiledi,Gutha Ramineedu,"Kanta Rao, Balayya, Savitri",Drama,1960
Deepavali,Rajinikanth,"N. T. Rama Rao, Savitri, Krishna Kumari",Mythology,1960
Devanthakudu,C. Pullaiah,"N. T. Rama Rao, Krishna Kumari, S. V. Ranga Rao, Hemalatha",Folklore,1960
Dharmame Jayam,K. B. Nagabhushanam,"Jaggayya, Jamuna, Gummadi, P. Kannamba",Drama,1960
Kanna Koothuru,D. Yoganand,"A. Nageswara Rao, Anjali Devi, Baby Uma, Rajagopal, Dara Singh",Drama,1960
Jagannatakam,Sobhanadri Rao,"Amarnath, Krishna Kumari, Girija",Drama,1960
Jalsa Rayudu,Tapi Chanakya,"Jaggayya, Jamuna, Gummadi, P. Kannamba",Drama,1960
Kadeddulu Ekaram Nela,Chandrasekhara Rao Jampana,"N. T. Rama Rao, Sowcar Janaki",Drama,1960
Kanakadurga Pooja Mahima,B. Vittalacharya,"Kanta Rao, Krishna Kumari",Devotional,1960
Kula Daivam,Kabir Das,"Gummadi, Anjali Devi, Chalam, Girija",Family Drama,1960
Kumkuma Rekha,Tapi Chanakya,"Jaggayya, Savitri, Balayya, M. Saroja",Family Drama,1960
Maa Babu,T. Prakash Rao,"A. Nageswara Rao, Savitri, M. N. Rajam, Honey Irani",Family Drama,1960
Magavari Mayalu,Sobhanadri Rao,"Amarnath, Krishna Kumari, Chalam, Rajasree",Comedy Drama,1960
Mahakavi Kalidasu,Kamalakara Kameswara Rao,"A. Nageswara Rao, S. V. Ranga Rao, Sriranjani, Rajasulochana",Biography,1960
Mamaku Tagga Alludu,Vedantam Raghavaiah,"Savitri, S. V. Ranga Rao, Relangi, Girija, Pushpavalli",Comedy Drama,1960
Mangalyam,B. S. Narayana,"Kanta Rao, Devika, Ramakrishna, Rajasree",Famil Drama,1960
Nammina Bantu,Adurthi Subba Rao,"A. Nageswara Rao, Savitri, S. V. Ranga Rao, Gummadi",Drama,1960
Nithya Kalyanam Paccha Thoranam,Pinisetti Srirama Murthy,"Chalam, Krishna Kumari, Rajasree, Ramakrishna",Drama,1960
Pelli Kanuka,C. V. Sridhar,"A. Nageswara Rao, B. Saroja Devi, Krishna Kumari",Romantic Drama,1960
Pillalu Techina Challani Rajyam,B. R. Panthulu,"B. R. Panthulu, M. V. Rajamma, K. Sarangapani",Drama,1960
Raja Makutam,B. N. Reddi,"N. T. Rama Rao, Rajasulochana, Gummadi, P. Kannamba",Folklore,1960
Ramasundari,H. Krishnamurthy,"Kanta Rao, Ramakrishna, Krishna Kumari, Rajasree",Folklore,1960
Rani Ratnaprabha,B. A. Subba Rao,"N.T.Rama Rao, Anjali Devi, Gummadi, Sandhya",Historical,1960
Renukadevi Mahatyam,K. S. Prakash Rao,"Gummadi, G. Varalakshmi",Devotional,1960
Runanubandham,Vedantam Raghavaiah,"A. Nageswara Rao, Anjali Devi, Haranath",Drama,1960
Sahasra Siracheda Apoorva Chinthamani,S. D. Lal,"Kanta Rao, Gummadi, Devika, Girija",Drama,1960
Samajam,A. Narayana Rao,"Jaggayya, Rajasulochana, Relangi, Girija",Comedy Drama,1960
Shanthi Nivasam,C. S. Rao,"A. Nageswara Rao, Rajasulochana, Kanta Rao, Krishna Kumari, Gummadi, Devika",Drama,1960
Sri Krishna Rayabaram,Jagannadh,"Raghuramaiah, Kanta Rao, Gummadi, Sandhya, Hemalatha",Mythology,1960
Sri Venkateswara Mahatyam,P. Pullaiah,"N. T. Rama Rao, Savitri, Gummadi, S. Varalakshmi",Mythology,1960
Vimala,S. M. Sriramulu Naidu,"N. T. Rama Rao, Savitri",Romance,1960
Aada Paduchu,K. Hemambharadhara Rao,"Shobhan Babu, Chandrakala and Nandamuri Taraka Rama Rao",Drama,1967
Ave Kallu,A. C. Trilogchander,"Krishna, Kanchana",,1967
Bhakta Prahlada,Chitrapu Narayana Rao,"Rojaramani, S. V. Ranga Rao, Anjali Devi",Musical,1967
Bhama Vijayam,Chittajallu Pullayya,"N. T. Rama Rao, Devika",,1967
Bhuvana Sundari Katha,Chittajallu Pullayya,"N. T. Rama Rao, Krishna Kumari",,1967
Chadarangam,S. V. Ranga Rao,"Haranath (actor), Jamuna Ramanarao",Drama,1967
Chikkadu Dorakadu,B. Vittalacharya,"N. T. Rama Rao, Krishna Kumari",Folklore,1967
Dwapayana Kaivalyam,Ramanna M. L.,,,1967
Devuni Gelichina Manavudu,Hunsur Krishnamurthy,"T. L. Kantha Rao, Vanisree",Drama,1967
Gruhalakshmi,Bhanumathi and P. S. Ramakrishna Rao,"A. Nageswara Rao, Bhanumathi",,1967
Gudachari 116,M. Mallikharjuna Rao,"Krishna, Jayalalitha",Action,1967
Iddaru Monagallu,B. Vittalacharya,"T. L. Kantha Rao, Krishna Kumari",,1967
Kambojaraju Katha,Kamalakara Kameshwara Rao,"Shobhan Babu, Rajasree",Vanisree,1967
Kanchu Kota,C. S. Rao,"N. T. Rama Rao, Kanta Rao, Savitri, Devika",Drama,1967
Konte Pilla,T. R. Ramanna,,,1967
Maa Vadina,Kotayya Pratyagatma,"T. L. Kantha Rao, Krishna Kumari",Drama,1967
Nindu Manasulu,S. D. Lal,"NTR, Devika",,1967
Nirdoshi,"NTR, Savitri",,,1967
Pedda Akkayya,B. A. Subba Rao,"Gummadi, Krishna Kumari, Harinadh, Chandramohan, Vanisree",Drama,1967
Poola Rangadu,Adurthi Subba Rao,"Akkineni Nageswara Rao, Jamuna, Vijaya Nirmala, Chittor V. Nagaiah",Drama,1967
