Title,Director,Cast,Genre,Year,new_Genre
Barrister Parvateesarrn,H. M. Reddy,"Lanka Satyam, G. Varalakshmi, K. Sivarao, L. V. Prasad",Comedy,1940,Comedy
Bhoja Kalidasu,H. V. Babu,"Adhanki Srirama Murthy, Parepalli Subba Rao, P. Kannamba",Mythology,1940,Mythology
Bhookailas,Sundar Rao Nadkarni,"M. V. Subbiah Naidu, R. Nagendra Rao, Lakshmi Bai, R. Subramanyam, Hymavathi",Devotional,1940,Devotional
Bondam Pelli,H. M. Reddy,"L. V. Prasad, G. Varalakshmi",Comedy,1940,Comedy
Chaduvukunna Bharya,H. M. Reddy,"Lanka Satyam, G. Varalakshmi",Comedy,1940,Comedy
Chandika,R. S. Prakash,"P. Kannamba, Bellary Raghava, Vemuri Gaggaiah, Aarani Satyanarayana",Adventure,1940,Adventure
Illalu,Gudavalli Ramabrahmam,"V. Umamaheswara Rao, Kanchanamala, Lakshmi Rajyam",Family,1940,Family
Jeevana Jyothi,China Kameswara Rao Dronamraju,"Ch. Narayana Rao, C. Krishnaveni, Kamala Kotnis",Drama,1940,Drama
Kalachakram,Amancharla Gopala Rao,"Banda Kanakalingeshwara Rao, Lakshmi Rajyam, M. Krishna Rao, N. Nagaraja Rao, Uma Devi",Drama,1940,Drama
Mahiravana,Ch. Narayana Murthy,"Vemuri Gaggaiah, Kanchanamala, R. Subramanyam, Yandamuri Raju, T. Ramakrishna Sastry",Mythology,1940,Mythology
Malathi Madhavam,C. Pullaiah,"Pushpavalli, C. Srinivasa Rao, P. Bhanumathi, Relangi",Folklore,1940,Folklore
Meerabai,B. Narasimha Rao,"Govindarajula Subba Rao, M. V. Lakshmi, Bogaraju Perraju",Devotional,1940,Devotional
Sumangali,B. N. Reddy,"A. S. Giri, Chittor V. Nagaiah, Kumari, Malathi",Social,1940,Social
Viswa Mohini,Y. V. Rao,"Chittor V. Nagaiah, Bezawada Rajarathnam, Y. V. Rao, Lalitha Devi",Drama,1940,Drama
Aahuti,R. S. Junnarkar,"Aarani Satyanarayana, C. Krishnaveni, Rushyendramani, Suryakantham",Drama,1950,Drama
Adhrusta Deepudu,S. Soundararajan,"Suryakumari, Rama Sarma, Mukkamala, Gummadi",Drama,1950,Drama
Apoorva Sahodarulu (Dubbed from Tamil),C. Pullaiah,"M. K. Radha, P. Bhanumathi, R. Nagendra Rao, L. Narayana Rao, J. S. Casshyap, Suryaprabha",Action,1950,Action
Beedala Patlu,K. Ramnoth,"V. Nagaiah, Javar Seetharaman, T. S. Balaiah, Lalitha, Padmini, Serukulathur Sama",Social,1950,Social
Jeevitham,A. V. Meiyappan,"Vyjayanthimala, T. R. Ramachandran, S. Varalakshmi, C. H. Narayana Rao, C. S. R. Anjaneyulu",Drama,1950,Drama
Lakshmamma,T. Gopichand,"C. H. Narayana Rao, C. Krishnaveni, Govindarajula Subba Rao, Mudigonda Lingamurthy, Kumari Rukmani",Folklore,1950,Folklore
Maaya Rambha,T. P. Sundaram,"Anjali Devi, K. Raghuramaiah, N. T. Rama Rao, G. Varalakshmi, C. S. R. Anjaneyulu",Folklore,1950,Folklore
Modhati Rathri,K. S. Prakash Rao,"G. Varalakshmi, C. H. Narayana Rao, Kasturi Siva Rao, K. S. Prakash Rao, P. K. Saraswathi",Drama,1950,Drama
Palletoori Pilla,B. A. Subba Rao,"A. Nageswara Rao, N. T. Rama Rao, Anjali Devi",Folklore,1950,Folklore
Paramanandayya Sishyulu,Kasturi Siva Rao,"A. Nageswara Rao, C. Lakshmi Rajyam, Girija, C. S. R. Anjaneyulu, Kasturi Siva Rao, Relangi",Comedy,1950,Comedy
Raja Vikrama (Dubbed from Kannada),Kempraj Urs,S. Rajam,Folklore,1950,Folklore
Shavukaru,L. V. Prasad,"N. T. Rama Rao, Sowcar Janaki, Govindarajula Subba Rao, Santha Kumari, S. V. Ranga Rao",Social,1950,Social
Samsaram,L. V. Prasad,"A. Nageswara Rao, C. Lakshmi Rajyam, N. T. Rama Rao, Pushpalata",Social,1950,Social
Sri Lakshmamma Katha,Ghantasala Balaramayya,"A. Nageswara Rao, Anjali Devi, G. Varalakshmi, Kasturi Siva Rao",Folklore,1950,Folklore
Sri Saibaba,Pattabhi,"Mannava Ramachandra Rao, Adhanki Srirama Murthy, Hemalatha, C. S. R. Anjaneyulu, Parepalli Subba Rao, Surabi Balasaraswati, Bharathi Devi",Devotional,1950,Devotional
Swapna Sundari,Ghantasala Balaramayya,"A. Nageswara Rao, Anjali Devi, G. Varalakshmi, Kasturi Siva Rao, Surabhi Balasaraswathi",Fantasy,1950,Fantasy
Thirugubatu,P. Pullaiah,"C. H. Narayana Rao, Santha Kumari, C. Krishnaveni, Adhanki Srirama Murthy, 'Baby' Mallika",Social,1950,Social
Vaali – Sugreeva,Jampana,"C. S. R. Anjaneyulu, Sriranjani Jr., G. Varalakshmi",Devotional,1950,Devotional
Abhimanam,k. S Rao,"A. Nageswara Rao, Savitri, P. Kannamba, Chalam, Krishna Kumari",Drama,1960,Drama
Anna Chellelu,B. Vittalacharya,"J. V. Ramana Murthy, Devika, Meena Kumari, Rajanala",Drama,1960,Drama
Annapurna,V. Madhusudhan Rao,"Jaggayya, Jamuna, Gummadi",Drama,1960,Drama
Bhakta Raghunath,Samudrala,"Kanta Rao, Jamuna",Mythology,1960,Mythology
Bhakta Sabari,Ch. Narayana Murthy,"Sobhan Babu, Haranath, Krishna KUmari, Rajasree, Chittor V. Nagaiah, Pandaribai",Mythology,1960,Mythology
Bhatti Vikramarka,Chandrasekhara Rao Jampana,"N. T. Rama Rao, Kanta Rao, Anjali Devi",Historical,1960,Historical
Chivaraku Migiledi,Gutha Ramineedu,"Kanta Rao, Balayya, Savitri",Drama,1960,Drama
Deepavali,Rajinikanth,"N. T. Rama Rao, Savitri, Krishna Kumari",Mythology,1960,Mythology
Devanthakudu,C. Pullaiah,"N. T. Rama Rao, Krishna Kumari, S. V. Ranga Rao, Hemalatha",Folklore,1960,Folklore
Dharmame Jayam,K. B. Nagabhushanam,"Jaggayya, Jamuna, Gummadi, P. Kannamba",Drama,1960,Drama
